rank,name,nationality,dob,points
1,Jakob INGEBRIGTSEN,NOR,2000-09-19,1487
2,Yared NUGUSE,USA,1999-06-01,1462
3,Cole HOCKER,USA,2001-06-06,1449
4,Azeddine HABZ,FRA,1993-07-19,1412
5,Josh KERR,GBR,1997-10-08,1403
6,Hobbs KESSLER,USA,2003-03-15,1383
7,Timothy CHERUIYOT,KEN,1995-11-20,1378
8,Isaac NADER,POR,1999-08-17,1366
9,Reynold CHERUIYOT,KEN,2004-07-30,1364
10,Niels LAROS,NED,2005-04-17,1356
11,Narve Gilje NORDÅS,NOR,1998-09-30,1347
12,Cameron MYERS,AUS,2006-06-09,1347
13,Stefan NILLESSEN,NED,2003-01-02,1346
14,Anass ESSAYI,MAR,2001-05-18,1338
15,Phanuel Kipkosgei KOECH,KEN,2006-12-01,1329
16,Elliot GILES,GBR,1994-05-26,1329
17,Brian KOMEN,KEN,1998-08-10,1329
18,Neil GOURLEY,GBR,1995-02-07,1325
19,Robert FARKEN,GER,1997-09-20,1322
20,Samuel PIHLSTRÖM,SWE,2001-03-08,1317
21,Jochem VERMEULEN,BEL,1998-08-02,1317
22,Ruben VERHEYDEN,BEL,2000-12-22,1311
23,Cathal DOYLE,IRL,1997-11-12,1296
24,Festus LAGAT,KEN,1996-10-10,1291
25,Jude THOMAS,AUS,2002-03-17,1291
26,Vincent CIATTEI,USA,1995-01-21,1287
27,Oliver HOARE,AUS,1997-01-29,1286
28,Federico RIVA,ITA,2000-11-09,1281
29,Pietro ARESE,ITA,1999-10-08,1272
30,Louis GILAVERT,FRA,1998-01-01,1270
31,Adam SPENCER,AUS,2001-10-04,1266
32,Romain MORNET,FRA,1997-11-08,1264
33,Flavien SZOT,FRA,2001-09-06,1257
34,Pierrik JOCTEUR-MONROZIER,FRA,1998-03-23,1257
35,Luke HOUSER,USA,2001-05-02,1251
36,Thomas KEEN,GBR,2001-06-16,1248
37,Raphael PALLITSCH,AUT,1989-12-18,1247
38,Fouad MESSAOUDI,MAR,2001-01-07,1245
39,Andrew COSCORAN,IRL,1996-06-18,1244
40,José Carlos PINTO,POR,1997-05-03,1242
41,Samuel PRAKEL,USA,1994-10-29,1242
42,Filip RAK,POL,2003-02-03,1241
43,Tshepo TSHITE,RSA,1997-01-15,1241
44,Heithem CHENITEF,ALG,2004-01-30,1241
45,Paul ANSELMINI,FRA,2003-08-02,1240
46,Melese NBERET,ETH,2001-01-29,1238
47,Pol ORIACH,ESP,2002-09-20,1237
48,Adrián BEN,ESP,1998-08-04,1230
49,Mohamed ATTAOUI,ESP,2001-09-26,1229
50,Cooper TEARE,USA,1999-08-18,1229
51,Filip SASÍNEK,CZE,1996-01-08,1229
52,Ignacio FONTES,ESP,1998-06-22,1229
53,Samuel TANNER,NZL,2000-08-24,1228
54,Nuno PEREIRA,POR,2000-11-27,1227
55,Ermias GIRMA,ETH,2005-01-20,1226
56,Gary MARTIN,USA,2003-12-23,1220
57,Ryan MPHAHLELE,RSA,1998-06-20,1220
58,Kristian Uldbjerg HANSEN,DEN,1996-08-15,1219
59,Vincent Kibet KETER,KEN,2002-03-11,1219
60,Adam FOGG,GBR,1999-01-27,1219
61,George MILLS,GBR,1999-05-12,1218
62,Kieran LUMB,CAN,1998-08-02,1217
63,Ethan STRAND,USA,2002-10-20,1213
64,Abel KIPSANG,KEN,1996-11-22,1213
65,Anas Lagtiy CHAOUDAR,FRA,2004-01-17,1213
66,Elhassane MOUJAHID,MAR,2000-01-19,1212
67,Charles PHILIBERT-THIBOUTOT,CAN,1990-12-31,1211
68,Jack ANSTEY,AUS,1997-04-08,1211
69,Hafid RIZQY,MAR,1997-10-26,1209
70,Noah BALTUS,NED,2002-02-03,1206
71,Archie DAVIS,GBR,1998-10-16,1206
72,Maël GOUYETTE,FRA,1999-05-21,1206
73,Joao Bussotti NEVES,ITA,1993-05-10,1205
74,Carlos SAEZ,ESP,1999-01-27,1204
75,Abel TEFFRA,USA,2002-01-23,1202
76,Javier MIRON,ESP,1999-12-13,1201
77,Henry MCLUCKIE,GBR,2002-05-03,1199
78,Charles GRETHEN,LUX,1992-06-02,1198
79,Nathan GREEN,USA,2003-04-10,1198
80,Foster MALLECK,CAN,2001-08-12,1197
81,Abdulkerim TEKI,ETH,2005-02-06,1194
82,Anicet KOZAR,FRA,2001-10-08,1193
83,Benjamin ALLEN,USA,1998-04-17,1193
