rank,name,nationality,dob,points
1,Brittany BROWN,USA,1995-04-18,1419
2,Julien ALFRED,LCA,2001-06-10,1408
3,Gabrielle THOMAS,USA,1996-12-07,1406
4,Anavia BATTLE,USA,1999-03-28,1392
5,Daryll NEITA,GBR,1996-08-29,1378
6,Dina ASHER-SMITH,GBR,1995-12-04,1350
7,Mckenzie LONG,USA,2000-07-11,1346
8,Jessika GBAI,CIV,1998-12-29,1324
9,Favour OFILI,NGR,2002-12-31,1323
10,Amy HUNT,GBR,2002-05-15,1323
11,Mujinga KAMBUNDJI,SUI,1992-06-17,1290
12,Helene PARISOT,FRA,1992-12-17,1272
13,Jaël BESTUÉ,ESP,2000-09-24,1268
14,Jameesia FORD,USA,2005-01-26,1266
15,Jenna PRANDINI,USA,1992-11-20,1261
16,Maboundou KONÉ,CIV,1997-05-16,1248
17,Henriette JÆGER,NOR,2003-06-30,1245
18,Torrie LEWIS,AUS,2005-01-08,1243
19,Jadyn MAYS,USA,2002-04-02,1241
20,Madison WHYTE,USA,2004-10-17,1234
21,Dajaz DEFRAND,USA,2003-10-16,1232
22,Julia HENRIKSSON,SWE,2000-07-11,1232
23,India MAYBERRY,USA,,1227
24,Marileidy PAULINO,DOM,1996-10-25,1225
25,Tasa JIYA,NED,1997-09-16,1223
26,Salwa Eid NASER,BRN,1998-05-23,1223
27,Deajah STEVENS,USA,1995-05-19,1221
28,Jessica-Bianca WESSOLLY,GER,1996-12-11,1220
29,Yujie CHEN,CHN,2008-12-29,1219
30,Minke BISSCHOPS,NED,2002-09-02,1218
31,Imke VERVAET,BEL,1993-04-11,1218
32,Niesha BURGHER,JAM,2002-08-08,1216
33,Jasmine MONTGOMERY,USA,,1212
34,Boglárka TAKÁCS,HUN,2001-08-28,1209
35,Veronica Shanti PEREIRA,SGP,1996-09-20,1206
36,Mia GROSS,AUS,2001-04-18,1206
37,Kristie EDWARDS,AUS,2000-02-24,1202
38,Dana WILSON,USA,2006-09-22,1202
39,Bianca WILLIAMS,GBR,1993-12-18,1199
