Event Name,Raw Date,Start Date,End Date,Venue,Country,Discipline,Competition Group,Result Link
Weltklasse Zürich,27-28 AUG 2025,2025-08-27,2025-08-28,"Letzigrund, Zürich (SUI)",SUI,Track and Field,"Wanda Diamond League Meeting, Wanda Diamond League Finals",https://worldathletics.org/competition/calendar-results/results/7199686
Memorial van Damme,22 AUG 2025,2025-08-22,2025-08-22,"Boudewijnstadion, Bruxelles (BEL)",BEL,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7199685
Athletissima Lausanne,19-20 AUG 2025,2025-08-19,2025-08-20,"Stade Olympique de la Pontaise, Lausanne (SUI)",SUI,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7203944
Silesia Kamila Skolimowska Memorial,15-16 AUG 2025,2025-08-15,2025-08-16,"Stadion Śląski, Chorzów (POL)",POL,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7199684
London Athletics Meet,19 JUL 2025,2025-07-19,2025-07-19,"Olympic Stadium, London (GBR)",GBR,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7203943
Meeting International d’Athlétisme Herculis EBS,11 JUL 2025,2025-07-11,2025-07-11,"Stade Louis II, Monaco (MON)",MON,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7203942
Prefontaine Classic,05 JUL 2025,2025-07-05,2025-07-05,"Hayward Field, Eugene, OR (USA)",USA,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7203941
Meeting de Paris,20 JUN 2025,2025-06-20,2025-06-20,"Stade Charléty, Paris (FRA)",FRA,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7203940
BAUHAUS-Galan,14-15 JUN 2025,2025-06-14,2025-06-15,"Olympiastadion, Stockholm (SWE)",SWE,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7203937
Oslo Bislett Games,11-12 JUN 2025,2025-06-11,2025-06-12,"Bislett Stadion, Oslo (NOR)",NOR,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7203939
Golden Gala,06 JUN 2025,2025-06-06,2025-06-06,"Stadio Olimpico, Roma (ITA)",ITA,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7203938
Meeting International Mohammed VI d'Athlétisme de Rabat,25 MAY 2025,2025-05-25,2025-05-25,"Stade Olympique, Rabat (MAR)",MAR,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7199683
Doha Meeting,16 MAY 2025,2025-05-16,2025-05-16,"Suhaim bin Hamad Stadium, Doha (QAT)",QAT,Track and Field,Wanda Diamond League Meeting,https://worldathletics.org/competition/calendar-results/results/7199682
